Zip Code,Percent Elevated Lead Cases,One race - White,One race - Black or African American,One race - American Indian and Alaska Native,One race - Asian,One race - Native Hawaiian and Other Pacific Islander,One race - Some other race,Two or more races,Hispanic or Latino origin (of any race),"White alone, not Hispanic or Latino",Median Income,Population for whom poverty status is determined - Below 100 percent of the poverty level
10013,0.0,53.9,4.5,0.1,35.0,0.0,1.9,4.6,6.1,50.5,51907,11.7
10501,0.0,92.3,1.2,0.0,0.4,0.0,3.2,2.9,8.7,87.4,50972,0.6
10502,0.0,75.1,1.6,0.2,16.9,0.0,3.4,2.8,7.7,70.8,71563,2.5
10505,0.0,83.0,2.0,0.0,15.0,0.0,0.0,0.0,9.3,74.5,29286,2.3
10506,0.0,95.1,0.2,0.1,3.5,0.0,0.2,1.0,2.2,93.3,82682,3.4
10509,0.0,85.2,2.6,0.4,3.3,0.0,6.4,2.1,20.2,72.6,37465,4.5
10511,0.0,77.9,4.3,0.0,1.8,0.0,12.6,3.5,16.2,75.3,41667,6.7
10512,0.0,87.0,3.4,0.3,2.9,0.0,3.6,2.7,14.7,78.3,40173,4.6
10516,0.0,94.5,1.0,0.4,0.8,0.0,1.4,1.8,7.4,88.6,46386,3.6
10517,0.0,91.8,0.0,0.0,1.4,0.0,3.5,3.3,6.6,89.0,35542,0.0
10518,0.0,95.2,0.0,0.0,4.8,0.0,0.0,0.0,0.0,95.2,44556,9.1
10520,0.0,80.5,5.9,0.3,7.0,0.0,4.1,2.1,9.7,74.9,48192,3.8
10523,0.0,37.8,30.9,1.2,7.6,0.0,18.5,4.0,32.1,26.5,32384,10.3
10524,1.514,86.8,3.3,0.0,3.0,0.0,1.8,5.2,6.8,82.8,45665,6.7
10526,0.0,83.3,2.6,0.0,3.3,0.0,10.8,0.0,11.3,82.8,58224,4.5
10527,0.0,97.1,0.4,0.0,2.6,0.0,0.0,0.0,0.2,96.8,53214,1.2
10528,0.0,75.6,3.3,0.8,13.0,0.0,4.5,2.9,11.2,70.1,50824,6.9
10530,0.0,72.6,8.7,0.7,10.5,0.0,5.3,2.3,13.7,64.8,59410,6.4
10532,1.725,86.0,1.1,0.0,4.6,0.0,7.2,1.0,11.5,82.2,42386,3.9
10535,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6,90.4,29813,0.0
10537,0.5130769230769231,86.7,9.6,0.0,0.0,0.0,0.0,3.7,7.3,79.4,30255,5.3
10541,0.0,92.8,0.6,0.0,1.7,0.0,3.5,1.3,10.3,86.4,40355,3.0
10546,0.625,73.7,0.3,0.0,15.9,0.0,8.9,1.3,8.5,72.1,72731,0.3
10547,0.0,75.9,8.0,0.0,3.9,0.0,11.4,0.8,25.5,63.1,32395,6.4
10548,0.0,84.4,5.8,0.0,0.8,0.0,7.2,1.8,14.9,77.7,36250,8.8
10549,0.0,74.0,4.1,0.3,4.0,0.0,15.6,2.1,31.2,59.6,39991,7.3
10550,3.845,13.1,73.8,0.5,1.7,0.0,7.9,3.0,17.0,7.5,27289,18.3
10552,0.0,46.6,42.5,0.3,3.3,0.0,4.5,2.9,16.9,37.8,36709,9.9
10560,0.0,87.7,3.7,0.6,1.8,0.0,2.5,3.6,8.5,81.5,49835,5.1
10562,1.176,51.8,14.0,1.9,4.3,0.0,25.0,3.1,40.1,40.7,33207,10.1
10566,2.8125,41.6,21.4,0.7,3.1,0.0,25.8,7.4,39.3,32.5,28198,13.0
10567,0.0,76.3,6.4,0.1,3.0,0.0,10.8,3.3,20.6,67.4,47500,5.0
10573,0.0,61.7,4.1,1.1,2.8,0.0,28.2,2.1,52.5,40.0,29789,11.2
10576,0.0,91.7,1.6,0.0,3.6,0.0,0.2,2.9,2.1,90.2,76422,1.0
10577,0.0,72.7,12.6,0.3,5.7,0.2,3.0,5.6,13.1,67.0,5114,11.8
10578,0.0,85.7,0.0,0.0,4.0,0.0,10.3,0.0,19.5,76.5,43750,3.6
10579,0.0,93.2,0.0,0.2,0.9,0.0,1.7,4.0,10.8,85.5,52800,3.8
10588,0.0,74.1,4.0,0.8,1.7,0.0,19.5,0.0,35.8,58.6,31957,8.3
10589,0.0,94.2,2.0,0.5,2.1,0.0,1.2,0.1,5.7,90.1,49040,2.8
10590,0.8925,90.9,4.1,0.4,2.7,0.0,1.4,0.5,6.4,86.7,60201,3.8
